8,8,3,5,9,12,7,12,11,11,9,10,11,13,29,18,12,13,12,3,10,11,13,4
10,6,3,7,14,13,35,22,15,25,20,43,45,45,47,33,41,56,47,13,26,12,8,12
9,7,4,6,12,14,47,30,50,40,52,51,67,66,55,59,47,65,67,50,22,8,14,11
7,9,8,10,10,10,38,26,41,47,53,62,66,72,80,110,147,146,87,62,54,13,10,10
0,1,2,8,1,6,8,14,16,33,55,58,82,75,123,172,205,203,152,92,56,18,18,10
7,10,10,13,10,15,12,23,44,45,53,54,90,106,181,180,204,228,163,118,56,36,15,11
12,11,12,14,13,11,12,13,12,13,63,69,99,118,126,119,107,180,178,134,93,42,25,15
4,5,8,12,14,46,8,4,0,14,59,84,94,83,80,71,99,138,158,127,100,84,30,37
6,8,8,13,13,50,53,50,51,46,75,112,109,79,60,70,107,144,198,181,127,77,50,12
0,0,3,5,3,4,7,48,55,66,126,138,90,59,57,62,99,149,184,213,188,112,74,57
9,11,10,12,12,13,11,47,52,70,183,108,63,59,56,63,89,149,215,246,196,128,99,67
2,2,0,2,8,7,11,24,27,51,55,54,50,56,58,67,100,136,205,263,244,146,105,72
8,6,1,6,4,10,6,0,0,5,7,8,7,10,64,71,100,104,164,214,211,136,110,97
1,8,4,6,10,8,3,2,9,14,11,13,4,14,62,77,100,107,135,153,149,129,112,124
2,1,0,0,6,8,0,0,0,0,8,12,27,50,66,55,76,103,122,131,138,125,106,103
7,6,0,2,0,3,0,0,0,4,0,4,0,13,33,17,53,102,109,139,136,125,116,88
7,6,2,4,6,7,3,0,5,10,9,5,4,14,12,7,25,60,128,144,144,145,126,110
8,9,8,10,8,10,13,13,10,7,9,13,24,50,84,114,141,184,263,253,234,187,125,86
0,0,0,4,5,0,7,20,50,72,109,165,145,112,125,152,198,244,292,270,231,172,121,73
0,5,7,12,13,44,60,104,104,95,112,143,171,157,203,244,338,340,336,258,225,160,103,69
0,1,12,18,50,63,102,106,90,97,132,153,183,165,178,198,246,325,308,242,198,139,114,67
0,5,27,57,97,91,102,99,104,108,115,122,131,142,165,193,205,181,180,174,139,86,60,40
0,9,33,48,48,61,79,80,70,69,82,99,91,104,103,101,110,111,81,103,102,51,26,14
0,0,11,40,62,85,106,102,101,78,100,82,61,88,68,48,13,13,25,13,17,11,11,0
0,8,9,14,93,102,108,113,101,83,70,56,61,66,67,55,61,52,40,12,9,13,9,10
6,10,9,12,89,111,113,113,103,74,20,45,69,45,13,15,14,60,43,28,13,0,13,6
0,2,1,10,40,102,101,103,100,81,17,25,14,14,14,10,9,12,15,10,7,5,13,5
0,0,0,0,12,76,102,78,96,58,56,14,51,52,14,51,51,41,11,8,12,11,11,11
0,0,0,4,13,67,100,102,78,60,32,6,17,11,13,17,31,20,11,4,14,8,10,11
0,0,0,0,8,25,67,85,63,55,23,11,25,30,28,26,26,9,1,3,8,8,8,7
5,4,6,9,11,14,51,52,54,50,28,15,27,26,13,13,20,5,13,10,0,8,0,4
0,0,1,1,9,7,45,58,64,53,17,11,12,6,12,14,15,6,6,11,7,0,0,3
4,0,0,0,8,10,21,56,60,54,53,6,9,8,29,53,62,12,9,11,9,0,0,0
3,0,0,0,2,8,14,54,55,52,27,11,0,15,54,67,92,33,6,8,6,0,3,4
0,0,0,0,0,4,17,52,51,28,7,0,0,12,54,54,53,14,12,5,7,7,5,4
2,0,0,0,0,8,42,26,11,0,0,0,0,44,55,41,21,11,8,10,10,8,8,0
0,0,0,0,0,7,9,0,0,0,0,7,13,71,58,14,9,12,10,3,10,10,5,0
0,5,0,0,7,10,4,0,0,1,8,6,7,49,35,21,14,9,5,10,8,0,4,4
0,0,0,0,0,0,0,0,1,5,0,3,12,11,8,10,13,10,8,12,8,4,7,7
0,0,0,0,9,5,0,0,0,2,11,10,4,2,9,4,6,9,9,10,9,1,2,0
0,5,4,8,7,6,9,10,9,11,4,10,10,9,10,0,0,5,7,12,13,8,7,2
5,7,0,5,6,8,8,7,4,0,1,10,12,7,6,0,0,7,4,6,9,13,13,10
0,7,0,3,8,9,0,0,0,3,10,11,8,10,10,0,0,7,4,0,9,11,9,3
0,0,0,3,9,3,3,4,1,0,1,5,4,10,3,0,2,10,1,4,11,5,8,7

8,8,2,6,9,12,7,11,11,11,9,10,10,13,29,16,11,13,12,3,10,11,13,4
11,6,2,8,14,13,35,21,14,24,17,40,43,44,50,33,42,58,50,13,26,12,7,12
8,7,4,7,11,14,43,23,50,38,51,48,65,66,55,62,53,69,70,51,29,9,13,10
7,9,8,10,9,9,34,18,33,43,50,59,66,73,92,135,172,173,106,69,57,14,10,11
0,1,1,8,1,6,8,13,13,20,54,56,82,80,137,187,223,229,176,103,59,29,20,9
7,10,9,12,10,15,12,17,40,43,52,54,92,110,184,186,217,242,173,122,58,40,15,9
12,11,12,14,13,11,12,12,12,13,62,69,101,117,122,114,106,183,183,136,92,45,33,15
4,4,7,12,13,30,9,4,1,14,59,86,94,81,78,69,97,140,160,128,101,91,39,40
5,8,7,14,13,41,52,47,50,50,77,111,106,76,59,67,104,144,196,180,131,83,55,40
0,0,2,5,3,3,7,39,53,65,126,128,85,57,56,59,90,140,180,208,192,122,85,65
8,11,9,12,11,12,10,33,51,65,145,86,60,57,55,59,76,132,194,236,193,131,103,70
2,2,0,3,7,6,10,18,16,41,52,51,47,56,55,65,88,116,180,246,232,143,106,75
7,6,0,6,4,10,7,0,0,0,6,6,8,11,62,67,89,93,149,201,205,135,110,97
1,8,4,7,10,8,4,2,10,13,12,14,9,28,66,73,92,104,131,148,147,128,111,123
2,1,0,0,6,7,0,0,0,0,9,14,36,53,70,51,70,101,119,129,136,124,105,102
7,6,0,3,0,3,0,0,1,4,0,5,0,10,21,13,47,101,105,136,135,124,115,86
7,6,1,5,6,7,3,0,5,10,9,5,4,13,12,7,20,60,127,143,142,143,124,108
8,10,8,11,8,10,13,13,10,7,9,13,24,50,84,113,141,182,257,246,226,182,122,84
0,0,0,5,5,0,7,22,50,72,109,164,145,112,125,151,199,243,290,266,226,169,120,73
0,6,6,12,13,43,60,104,103,95,111,143,172,157,204,245,339,349,348,263,225,160,104,69
0,1,12,20,49,62,101,106,89,96,132,153,184,165,179,200,251,337,325,247,201,141,115,69
0,5,18,57,93,89,101,98,104,108,116,123,133,143,166,195,209,184,181,175,139,87,60,40
0,9,28,47,47,59,79,81,70,70,84,100,92,104,103,101,111,111,81,103,103,51,26,14
0,0,10,47,61,84,106,102,101,85,100,84,62,89,69,48,14,14,27,13,18,11,11,0
1,8,8,14,90,102,108,113,101,88,71,59,66,69,71,59,62,52,42,12,9,13,9,11
7,11,9,13,87,111,113,113,104,75,25,48,73,47,14,17,14,61,45,30,13,0,13,6
0,3,1,10,37,101,101,103,100,86,22,31,19,17,14,10,10,12,17,11,7,5,13,5
0,0,0,0,12,75,102,78,98,60,59,14,51,54,14,51,53,41,11,9,12,11,11,11
0,0,0,6,13,66,100,102,80,61,36,6,20,11,13,20,33,21,10,3,14,8,10,11
0,0,0,0,8,25,67,85,64,57,26,11,26,31,29,26,27,9,1,2,8,8,8,6
6,4,6,9,11,14,51,52,54,51,28,16,27,27,13,14,20,5,13,10,0,8,0,4
0,0,1,2,9,7,44,57,65,54,26,12,12,6,12,14,18,6,6,11,6,0,0,3
5,0,0,0,8,9,22,56,60,55,54,8,9,9,32,53,62,12,9,11,8,0,0,0
3,0,0,0,1,7,13,54,56,52,29,11,1,15,54,67,95,37,7,8,5,0,3,4
0,0,0,0,0,3,18,52,52,31,8,0,0,12,54,54,54,14,13,5,6,6,5,3
2,0,0,0,0,8,42,26,11,0,0,0,0,45,55,44,23,11,8,9,9,8,8,0
0,0,0,0,0,7,9,0,0,0,0,7,13,71,60,15,10,12,9,3,9,10,5,0
0,5,0,0,7,9,4,0,0,1,8,6,7,51,37,22,14,9,6,10,7,0,4,3
0,0,0,0,0,0,0,0,1,4,0,3,12,12,9,10,13,9,8,12,7,3,7,6
0,0,0,0,9,5,0,0,0,2,11,9,4,2,10,4,6,9,9,10,9,0,2,0
0,5,4,8,7,5,9,10,8,11,4,10,11,9,10,0,0,5,7,12,13,8,7,2
5,7,0,5,6,8,8,6,4,0,1,10,13,7,6,0,0,7,3,5,9,13,13,10
0,7,0,3,8,9,0,0,0,2,10,11,8,10,10,0,0,7,4,0,8,11,9,3
0,0,0,3,8,3,3,4,1,0,1,6,4,10,3,0,2,10,0,4,11,4,8,7

8,7,1,5,8,11,5,11,11,11,9,14,20,28,37,37,20,14,14,6,11,12,14,5
10,6,1,8,13,12,31,20,18,34,38,54,52,51,53,39,50,66,55,14,35,12,8,12
8,6,3,6,11,12,36,14,43,46,53,55,72,67,55,63,58,73,72,52,34,9,13,10
7,9,7,9,8,8,30,16,23,43,52,62,67,73,92,136,181,185,113,76,60,28,11,11
0,1,0,7,1,4,7,11,12,19,53,57,82,81,136,184,223,228,180,114,63,44,26,9
7,9,8,12,9,14,11,14,39,42,52,57,94,110,179,180,209,231,173,135,68,46,17,9
12,10,12,14,12,10,11,13,12,13,63,74,102,117,120,111,101,165,166,133,99,49,38,14
4,3,6,12,11,18,9,5,1,14,62,90,94,81,77,68,90,129,150,125,101,92,40,44
5,8,7,13,11,30,51,41,48,50,85,110,101,73,58,66,100,135,183,171,127,81,54,39
0,0,2,5,3,1,6,38,52,73,130,110,76,53,55,59,89,134,168,196,184,119,84,65
7,10,8,11,10,11,9,18,50,69,110,66,57,56,54,58,74,128,190,228,189,128,102,70
